"","lat","lon","grid_id","EpiDist","VS30"
"1271",33,-116,1271,271.16920984801,689
"1307",33,-115.8,1307,287.430718622207,442
"1343",33,-115.6,1343,303.955374056997,228
"1379",33,-115.4,1379,320.702444778467,229
"1415",33,-115.2,1415,337.638778758601,249
"1451",33,-115,1451,354.737210129955,422
"1487",33,-114.8,1487,371.975326900717,399
"1523",33,-114.6,1523,389.334515301933,345
"1559",33,-114.4,1559,406.799215564252,318
"1595",33,-114.2,1595,424.356339366009,358
"1631",33,-114,1631,441.994811228322,694
"12",33.2,-123,12,428.66842255299,600
"48",33.2,-122.8,48,410.809645910018,600
"84",33.2,-122.6,84,393.013190440672,600
"120",33.2,-122.4,120,375.28799386458,600
"156",33.2,-122.2,156,357.644722873056,600
"192",33.2,-122,192,340.096199391994,600
"228",33.2,-121.8,228,322.657954304474,600
"264",33.2,-121.6,264,305.348953047557,600
"300",33.2,-121.4,300,288.192554780012,600
"336",33.2,-121.2,336,271.217791148867,600
"372",33.2,-121,372,254.461084660136,600
"408",33.2,-120.8,408,237.968573181802,600
"444",33.2,-120.6,444,221.799268209563,600
"480",33.2,-120.4,480,206.029347877255,600
"516",33.2,-120.2,516,190.757955474195,600
"552",33.2,-120,552,176.114889476255,600
"588",33.2,-119.8,588,162.270399357589,600
"624",33.2,-119.6,624,149.446645322236,600
"660",33.2,-119.4,660,137.928681461142,600
"696",33.2,-119.2,696,128.069352481007,600
"732",33.2,-119,732,120.277276599883,600
"768",33.2,-118.8,768,114.973566944767,600
"804",33.2,-118.6,804,112.510698230844,600
"840",33.2,-118.4,840,113.074460997944,600
"876",33.2,-118.2,876,116.620967923825,600
"912",33.2,-118,912,122.892243237296,600
"948",33.2,-117.8,948,131.499003639954,600
"984",33.2,-117.6,984,142.017236537852,600
"1020",33.2,-117.4,1020,154.055883359027,600
"1056",33.2,-117.2,1056,167.286980222477,708
"1092",33.2,-117,1092,181.449814491669,649
"1128",33.2,-116.8,1128,196.342814841188,710
"1164",33.2,-116.6,1164,211.811968296302,685
"1200",33.2,-116.4,1200,227.739848068041,709
"1236",33.2,-116.2,1236,244.0365958386,511
"1272",33.2,-116,1272,260.632972160334,465
"1308",33.2,-115.8,1308,277.475161325563,600
"1344",33.2,-115.6,1344,294.520938134213,248
"1380",33.2,-115.4,1380,311.73684911631,294
