field_1,lat,lon,grid_id,EpiDist,VS30,mmimean,thresh1,thresh2
1125,32.6,-116.8,1125,241.0578295,762,3.750505686,,
1161,32.6,-116.6,1161,253.901385,520,3.802201033,,
1197,32.6,-116.4,1197,267.4228412,327,3.983403921,,
1233,32.6,-116.2,1233,281.5244913,328,3.965985298,,
1269,32.6,-116,1269,296.1234105,618,3.655768156,,
1305,32.6,-115.8,1305,311.1495621,395,3.842406988,,
1341,32.6,-115.6,1341,326.5439215,180,4.105953217,,
1377,32.6,-115.4,1377,342.2567545,203,3.888378382,,
1413,32.6,-115.2,1413,358.2461042,201,3.802312374,,
1449,32.6,-115,1449,374.4764968,213,3.692477942,,
1485,32.6,-114.8,1485,390.917854,215,3.533242464,,
1521,32.6,-114.6,1521,407.5445868,216,3.399010181,,
1557,32.6,-114.4,1557,424.3348473,283,3.383619309,,
1593,32.6,-114.2,1593,441.2699107,302,3.416112661,,
1629,32.6,-114,1629,458.3336669,346,,,
10,32.8,-123,10,443.2562911,600,,,
46,32.8,-122.8,46,425.9289858,600,,,
82,32.8,-122.6,82,408.7112215,600,3.299243212,,
118,32.8,-122.4,118,391.6175148,600,3.346870899,,
154,32.8,-122.2,154,374.6649141,600,3.395084143,,
190,32.8,-122,190,357.8735403,600,3.443877697,,
226,32.8,-121.8,226,341.2672596,600,3.493233442,,
262,32.8,-121.6,262,324.8745235,600,3.543115377,,
298,32.8,-121.4,298,308.7294155,600,3.593463182,,
334,32.8,-121.2,334,292.8729562,600,3.644181728,,
370,32.8,-121,370,277.3547204,600,3.695128918,,
406,32.8,-120.8,406,262.2348227,600,3.746097803,,
442,32.8,-120.6,442,247.5863136,600,3.796795607,,
478,32.8,-120.4,478,233.4979872,600,3.846819401,,
514,32.8,-120.2,514,220.0775079,600,3.895632029,,
550,32.8,-120,550,207.454582,600,3.942543745,,
586,32.8,-119.8,586,195.7835859,600,3.98671031,,
622,32.8,-119.6,622,185.2445778,600,4.02928257,,
658,32.8,-119.4,658,176.0410233,600,4.072433949,,
694,32.8,-119.2,694,168.3920712,600,4.111326695,,
730,32.8,-119,730,162.5174042,600,4.144770145,,
766,32.8,-118.8,766,158.6143128,600,4.171727181,,
802,32.8,-118.6,802,156.8300829,600,4.189998627,,
838,32.8,-118.4,838,157.2368686,600,4.194945812,,
874,32.8,-118.2,874,159.8179388,600,4.182302952,,
910,32.8,-118,910,164.4709519,600,4.154352665,,
946,32.8,-117.8,946,171.0268651,600,4.117156982,,
982,32.8,-117.6,982,179.2770178,600,4.074236393,,
