,network,station,latitude,longitude,site_term
1694,,HTU,36.8268,-121.6435,-0.3703282234436905
1695,,1774,37.762,-122.505,0.7382086565240039
1696,,1782,37.3182,-121.9435,0.4671312044270999
1697,,AFD,38.946,-120.969,0.4050400106451
1698,,BRK,37.8735,-122.261,0.14071725171668034
1699,,FARB,37.6978,-123.0011,0.186425998897988
1700,,MCCM,38.1448,-122.8802,0.2746087174770831
1701,,MNRC,38.8787,-122.4428,0.4114659224856019
1702,,JUM,37.1607,-121.899,0.11765744229651308
1703,BK,KARE,36.59736,-119.50381000000002,0.12731625333686128
1704,BK,LCUV,35.65195999999999,-120.73221,0.14910081458940566
1705,BK,LEGD,37.21426,-120.14916,0.12862318662777725
1706,BK,LIND,36.35307,-119.05668,-0.22276420723993592
1707,BK,WSRE,36.33543,-120.11723,0.07852048365641441
1708,CE,21513,34.1657,-115.747,0.28270776675868997
1709,CE,24020,34.0752,-118.2176,-0.12559526756239558
1710,CI,APL,35.34149,-116.87464,-0.5898461308353874
1711,CI,ASP,35.86114,-119.38511,-0.1286522420464583
1712,CI,CFS,34.105,-117.283,0.16748209356024796
1713,CI,FDR,35.64262,-118.93433,-0.16285280559244206
1714,CI,GCC,34.32758,-118.31888,0.439874219096947
1715,CI,GFF,34.923805,-115.072662,-0.1106318377561522
1716,CI,GFS,34.476603999999995,-120.214358,-0.30983777650754823
1717,CI,GOU,34.22119,-118.18834,-0.3069058178762395
1718,CI,MIS,33.7403,-118.33517,-0.30506369680632645
1719,CI,MNO,33.947379999999995,-117.17278,-0.06583621009879205
1720,CI,MTA,33.42654,-117.37927,-0.2307429668427169
1721,CI,NPN,35.467388,-115.268509,-0.2757894536762601
1722,CI,PDW,33.923970000000004,-117.61713,-0.0614227465204596
1723,CI,PGA,33.4914,-117.0635,0.1473328296909071
1724,CI,POR,36.10368,-119.00343,0.7661721295263106
1725,CI,RFR,35.113583,-120.097209,-0.37069086884359387
1726,CI,RMM,34.643840000000004,-116.62438,1.0068768979367753
1727,CI,SHU,34.642790000000005,-118.16454,0.2711267738342502
1728,CI,WLS2,34.578987,-117.719386,0.3500829160251597
1729,CI,WRV2,36.00774000000001,-117.8904,-0.8026309694463425
1730,CI,WVP2,35.94939,-117.81768999999998,-0.5287325392684229
1731,NC,MDH,37.679752,-118.908821,0.3916233860891909
1732,NC,PBO,35.68674,-120.00061,-0.1716028077220732
1733,NC,PCE,36.01585,-120.29402,-0.0860776179059219
1734,NP,1587,37.58359,-118.23691,-0.5075998491942612
1735,NP,1679,37.52795,-118.36745,-0.2403654437174873
1736,NP,5480,34.70312,-118.42573,-0.2642924414380741
1737,NP,5481,34.5993,-118.45375,0.07533067852321464
1738,CE,3468,32.5762,-117.0849,0.12128965989284644
1739,CE,3471,32.6691,-117.0767,-0.00030984976850896535
1740,CE,3521,32.8793,-117.2239,-0.07795978495934287
1741,CE,12299,33.839,-116.542,0.08373542246838171
1742,CE,12478,33.0773,-116.4382,0.4286602495762457
1743,CE,12500,33.0734,-116.7685,-0.34075201114925346
1744,CE,13213,33.912,-117.196,0.44910767256220735
1745,CE,13415,33.98,-117.374,0.21595152872390286
1746,CE,13477,33.1231,-117.1219,-0.4958991844605196
1747,CE,13633,33.976,-117.381,1.125358237369498
1748,CE,14182,33.971,-118.038,0.10219010479592566
1749,CE,14826,33.996,-118.254,0.07166253193584833
1750,CE,14934,33.939,-118.3,0.00811057441656052
1751,CE,14937,33.905,-118.011,0.19107736470479605
1752,CE,22506,34.814,-116.663,-0.11646635048715928
1753,CE,22510,34.443000000000005,-116.938,-0.1107291289985686
1754,CE,22519,34.961,-116.67,0.4605159582373279
1755,CE,22520,34.195,-116.385,0.1785109920146188
1756,CE,23024,34.147,-117.999,0.051126381071039784
1757,CE,23057,34.043,-117.912,0.12973090434915485
1758,CE,23177,34.141,-117.967,-0.05793027191655485
1759,CE,23285,34.181999999999995,-117.324,0.11839510475535946
1760,CE,23287,34.065,-117.28,1.2466169268795522
1761,CE,23327,34.092,-117.81,-0.150710125059547
1762,CE,23417,34.033,-117.607,-0.059896089756306316
1763,CE,23511,34.056,-117.75,-0.13227076712253866
1764,CE,23773,34.067,-117.985,-0.04724192202438452
1765,CE,24022,34.155,-118.133,0.14773279251646212
1766,CE,24023,34.166,-118.15,0.12149099834922493
1767,CE,24025,34.041,-118.13,-0.023569655612986275
1768,CE,24029,34.104,-118.1,0.05464764615554196
1769,CE,24030,34.097,-118.131,0.10744482691414724
1770,CE,24033,34.084,-118.101,0.09651289859783288
1771,CE,24053,34.052,-118.242,0.35605809756717105
1772,CE,24054,34.221,-118.628,0.4406056334108709
1773,CE,24062,34.699,-118.077,0.04640644971160173
1774,CE,24114,34.075,-118.042,0.13241386114735856
1775,CE,24115,34.096,-118.012,0.05472175243238064
1776,CE,24117,34.519,-118.286,-0.2839555108109513
1777,CE,24206,34.547,-118.13,-0.6228339166307786
1778,CE,24216,34.059,-118.245,0.7798684126677479
1779,CE,24248,34.056999999999995,-118.206,0.5480661261981664
1780,CE,24260,34.062,-118.201,1.0790991120488571
1781,CE,24380,34.459,-118.754,-0.12006411542931138
